stock_id,title,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,emission,departure_port,trade_term,registration_date,status,source
JB-6938,沃尔沃S60 2015款 S60L 2.0T 智行版,沃尔沃,沃尔沃S60 2015款 S60L 2.0T 智行版,2015,112200,Petrol,自动,5600,轿车,,,2.0L,国IV(国V),上海港,FOB,2015-05,published,che168 m-site (car 59633938)
JB-5018,奥迪Q3 2022款 35 TFSI 时尚动感型,奥迪,奥迪Q3 2022款 35 TFSI 时尚动感型,2022,15000,Petrol,自动,36300,轿车,,,1.4L,国VI,上海港,FOB,2022-10,published,che168 m-site (car 58740018)
JB-6626,标致2008 2014款 1.6L 自动潮流版,标致,标致2008 2014款 1.6L 自动潮流版,2016,95100,Petrol,自动,3200,轿车,,,1.6L,国IV(国V),上海港,FOB,2016-08,published,che168 m-site (car 59633626)
JB-7307,宝马3系 2025款 330Li M运动曜夜套装,宝马,宝马3系 2025款 330Li M运动曜夜套装,2025,14000,Petrol,自动,41200,轿车,,,2.0L,国VI,上海港,FOB,2025-04,published,che168 m-site (car 59226307)
JB-5815,奕泽IZOA 2018款 2.0L 奕动版 国V,奕泽IZOA,奕泽IZOA 2018款 2.0L 奕动版 国V,2019,60000,Petrol,自动,10100,轿车,,,2.0L,国V,上海港,FOB,2019-08,published,che168 m-site (car 59632815)
JB-6120,马自达6 2015款 2.0L 自动经典型,马自达,马自达6 2015款 2.0L 自动经典型,2015,10000,Petrol,自动,5600,轿车,,,2.0L,国IV(国V),上海港,FOB,2015-06,published,che168 m-site (car 59633120)
JB-8396,迈锐宝XL 2022款 535T 自动锐联版,迈锐宝XL,迈锐宝XL 2022款 535T 自动锐联版,2022,60000,Petrol,自动,10900,轿车,,,1.5L,国VI,上海港,FOB,2022-08,published,che168 m-site (car 59375396)
JB-7400,力狮 2018款 2.5i 全驱荣耀版 EyeSight,力狮,力狮 2018款 2.5i 全驱荣耀版 EyeSight,2018,120000,Petrol,自动,9200,轿车,,,2.5L,欧V,上海港,FOB,2018-04,published,che168 m-site (car 59226400)
JB-5903,秦L 2025款 DM-i 智驾版 120KM领先型,秦L,秦L 2025款 DM-i 智驾版 120KM领先型,2025,20000,插混,自动,22500,轿车,,,,国VI,上海港,FOB,2025-08,published,che168 m-site (car 59632903)
JB-5867,传祺GS4 2016款 235T G-DCT精英版,传祺,传祺GS4 2016款 235T G-DCT精英版,2016,84000,Petrol,自动,3500,轿车,,,1.5L,国V,上海港,FOB,2016-11,published,che168 m-site (car 59632867)
JB-5798,Model Y 2022款 改款 后轮驱动版,Model,Model Y 2022款 改款 后轮驱动版,2023,50400,Petrol,自动,49500,轿车,,,,-,上海港,FOB,2023-08,published,che168 m-site (car 59632798)
JB-6942,宝骏E300 2020款 Plus 星际智趣版,宝骏,宝骏E300 2020款 Plus 星际智趣版,2020,70000,Petrol,自动,14600,轿车,,,,-,上海港,FOB,2020-11,published,che168 m-site (car 58973942)
JB-7827,科鲁兹 2015款 1.4T DCG豪华版,科鲁兹,科鲁兹 2015款 1.4T DCG豪华版,2015,49000,Petrol,自动,3700,轿车,,,1.4L,国IV(国V),上海港,FOB,2015-07,published,che168 m-site (car 58686827)
JB-7896,马自达CX-5 2013款 2.0L 自动两驱舒适型,马自达,马自达CX-5 2013款 2.0L 自动两驱舒适型,2015,120000,Petrol,自动,7100,轿车,,,2.0L,国IV(国V),上海港,FOB,2015-05,published,che168 m-site (car 58686896)
JB-7916,瑞奕 2014款 1.4L 自动GLX,瑞奕,瑞奕 2014款 1.4L 自动GLX,2015,16000,Petrol,自动,5000,轿车,,,1.4L,国IV(国V),上海港,FOB,2015-10,published,che168 m-site (car 58686916)
JB-8072,YARiS L 致炫 2020款 致炫X 1.5L CVT领先版,YARiS,YARiS L 致炫 2020款 致炫X 1.5L CVT领先版,2020,72000,Petrol,自动,7100,轿车,,,1.5L,国VI,上海港,FOB,2020-10,published,che168 m-site (car 58687072)
JB-8106,科鲁兹 2018款 320 自动先锋天窗版,科鲁兹,科鲁兹 2018款 320 自动先锋天窗版,2018,70000,Petrol,自动,5200,轿车,,,1.5L,国V,上海港,FOB,2018-07,published,che168 m-site (car 58687106)
JB-8130,奥迪A1 2014款 30 TFSI Sportback时尚型,奥迪,奥迪A1 2014款 30 TFSI Sportback时尚型,2015,80000,Petrol,自动,6900,轿车,,,1.4L,国IV(国V),上海港,FOB,2015-08,published,che168 m-site (car 58687130)
JB-8877,长城M4 2012款 1.5L 手动精英型,长城,长城M4 2012款 1.5L 手动精英型,2013,88000,Petrol,手动,1800,轿车,,,1.5L,国IV(国V),上海港,FOB,2013-11,published,che168 m-site (car 58883877)
JB-5764,帝豪GS 2016款 优雅版 1.3T 手动领尚型,帝豪GS,帝豪GS 2016款 优雅版 1.3T 手动领尚型,2016,68000,Petrol,手动,3000,轿车,,,1.3L,国V,上海港,FOB,2016-10,published,che168 m-site (car 58960764)
JB-7336,海豚 2021款 405km 时尚版,海豚,海豚 2021款 405km 时尚版,2021,58000,Petrol,自动,22100,轿车,,,,-,上海港,FOB,2021-11,published,che168 m-site (car 59122336)
JB-6734,翼搏 2013款 1.5L 自动风尚型,翼搏,翼搏 2013款 1.5L 自动风尚型,2014,137000,Petrol,自动,2800,轿车,,,1.5L,欧IV,上海港,FOB,2014-12,published,che168 m-site (car 59233734)
JB-8726,宝骏310 2016款 1.2L 手动时尚型,宝骏,宝骏310 2016款 1.2L 手动时尚型,2017,130000,Petrol,手动,1800,轿车,,,1.2L,国V,上海港,FOB,2017-12,published,che168 m-site (car 59459726)
JB-7085,宏光MINIEV 2025款 第四代 四门版 进阶款,宏光MINIEV,宏光MINIEV 2025款 第四代 四门版 进阶款,2025,22000,纯电,自动,8400,轿车,,,,-,上海港,FOB,2025-03,published,che168 m-site (car 59574085)
JB-7109,哈弗H6 2015款 升级版 1.5T 手动两驱尊贵型,哈弗,哈弗H6 2015款 升级版 1.5T 手动两驱尊贵型,2014,55000,Petrol,手动,1800,轿车,,,1.5L,国IV(国V),上海港,FOB,2014-12,published,che168 m-site (car 59622109)
JB-8530,红旗H5 2025款 2.0T 自动玄影版,红旗,红旗H5 2025款 2.0T 自动玄影版,2026,2600,Petrol,自动,21600,轿车,,,2.0L,国VI,上海港,FOB,2026-05,published,che168 m-site (car 59631530)
JB-5015,帝豪 2016款 三厢 1.5L 手动豪华型,帝豪,帝豪 2016款 三厢 1.5L 手动豪华型,2016,41400,Petrol,手动,2600,轿车,,,1.5L,国V,上海港,FOB,2016-06,published,che168 m-site (car 59632015)
JB-5118,五菱荣光V 2018款 1.5L标准型,五菱,五菱荣光V 2018款 1.5L标准型,2019,15000,Petrol,手动,4600,轿车,,,1.5L,国IV/国V,上海港,FOB,2019-08,published,che168 m-site (car 59632118)
JB-7483,昂科威Plus 2018款 20T 两驱精英型,昂科威Plus,昂科威Plus 2018款 20T 两驱精英型,2018,84500,Petrol,自动,8100,轿车,,,1.5L,国V,上海港,FOB,2018-03,published,che168 m-site (car 57914483)
JB-8387,宏光MINIEV 2025款 第四代 四门版 进阶款,宏光MINIEV,宏光MINIEV 2025款 第四代 四门版 进阶款,2025,12000,纯电,自动,8400,轿车,,,,-,上海港,FOB,2025-08,published,che168 m-site (car 59631387)
JB-5078,YARiS L 致炫 2020款 致炫X 1.5L CVT领先版,YARiS,YARiS L 致炫 2020款 致炫X 1.5L CVT领先版,2020,25400,Petrol,自动,8000,轿车,,,1.5L,国VI,上海港,FOB,2020-08,published,che168 m-site (car 59632078)
JB-5382,MINI 2012款 1.6T GOODWOOD,MINI,MINI 2012款 1.6T GOODWOOD,2013,55000,Petrol,自动,49700,轿车,,,1.6L,欧IV,上海港,FOB,2013-05,published,che168 m-site (car 53172382)
JB-8902,元PLUS 2025款 智驾版 510KM 超越型,元PLUS,元PLUS 2025款 智驾版 510KM 超越型,2025,19000,Petrol,自动,25500,轿车,,,,-,上海港,FOB,2025-04,published,che168 m-site (car 59631902)
JB-8759,英朗 2021款 改款 典范 1.5L 自动精英型,英朗,英朗 2021款 改款 典范 1.5L 自动精英型,2023,40700,Petrol,自动,9000,轿车,,,1.5L,国VI,上海港,FOB,2023-06,published,che168 m-site (car 59631759)
JB-8804,宝马X5 2022款 改款 xDrive 40Li M运动套装,宝马,宝马X5 2022款 改款 xDrive 40Li M运动套装,2023,70100,Petrol,自动,76300,轿车,,,3.0L,国VI,上海港,FOB,2023-06,published,che168 m-site (car 59631804)
JB-8729,沃尔沃XC60 2024款 B5 四驱智逸豪华版,沃尔沃,沃尔沃XC60 2024款 B5 四驱智逸豪华版,2023,50000,Petrol,自动,23000,轿车,,,2.0L,国VI,上海港,FOB,2023-11,published,che168 m-site (car 59631729)
JB-7950,威朗 2022款 Pro 533T 乐趣版,威朗,威朗 2022款 Pro 533T 乐趣版,2022,37600,Petrol,自动,10000,轿车,,,1.5L,国VI,上海港,FOB,2022-07,published,che168 m-site (car 57774950)
JB-8833,迈腾 2017款 330TSI DSG 豪华型,迈腾,迈腾 2017款 330TSI DSG 豪华型,2017,126000,Petrol,自动,9900,轿车,,,1.8L,国V,上海港,FOB,2017-12,published,che168 m-site (car 57791833)
